candidate_id,alpha_drawdown_pct,gspc_exit_gamma_pct,uvix_entry_rsi,uvix_exit_rsi,bb_window_days,bb_z_threshold,low_rsi_entry,low_rsi_exit,cagr,annualized_vol,max_drawdown,final_multiple,uvix_entries,low_rsi_entries
160,43.0,0.0,68.0,65.0,15,1.4,30.0,32.5,1.1320609421807513,0.6409637869938996,-0.757531103578137,203737.02592890675,118,17
203,43.0,0.3,67.5,65.0,20,1.6,30.0,32.5,1.1317441422410353,0.6207421565215475,-0.7604797548593611,203248.7627961416,156,17
166,43.0,0.0,68.0,66.0,20,1.4,30.0,32.5,1.1298298377529123,0.6408718764011023,-0.7575311035781369,200321.64726505437,131,17
132,40.5,0.3,67.5,66.0,15,1.4,30.0,32.5,1.1283986150110716,0.6356131611427142,-0.7741176788979386,198159.08560020023,163,16
73,40.5,0.0,67.0,65.0,15,1.6,30.0,32.5,1.126916215018829,0.6500423850733996,-0.771336919404592,195942.2971400862,121,16
27,37.5,0.1,67.0,65.0,20,1.6,30.0,32.5,1.1268754300155428,0.6533451331981842,-0.787599388407619,195881.63714170593,141,13
0,37.5,0.0,67.0,65.0,15,1.4,30.0,32.5,1.1255409024322756,0.6628706516579564,-0.7815854793609471,193906.47020257698,135,13
28,37.5,0.1,67.0,66.0,15,1.4,30.0,32.5,1.1248526865732131,0.6571621846593649,-0.7875993884076188,192895.19344700687,147,13
20,37.5,0.0,68.0,66.0,15,1.4,30.0,32.5,1.1227587477586995,0.6557777100485412,-0.781585479360947,189848.66353010558,120,13
3,37.5,0.0,67.0,65.0,20,1.6,30.0,32.5,1.1215191538698859,0.6554629921168595,-0.7815854793609471,188066.4741789144,134,13
143,40.5,0.3,68.0,66.0,20,1.6,30.0,32.5,1.1215068509646549,0.6293684393226894,-0.7741176788979387,188048.8649564723,151,16
128,40.5,0.3,67.5,65.0,15,1.4,30.0,32.5,1.1187749336706996,0.6349813928478889,-0.7741176788979385,184176.72894935595,161,16
186,43.0,0.1,68.0,65.0,20,1.4,30.0,32.5,1.115087692063777,0.6391863695486092,-0.764207335018526,179069.04475730937,140,17
16,37.5,0.0,68.0,65.0,15,1.4,30.0,32.5,1.1145328089585957,0.6573640182606306,-0.7815854793609471,178312.0059850804,118,13
59,37.5,0.3,67.5,65.0,20,1.6,30.0,32.5,1.114218613499566,0.6376628991525289,-0.7842416066647966,177884.6748298564,156,13
133,40.5,0.3,67.5,66.0,15,1.6,30.0,32.5,1.1131636342761118,0.6275479086723035,-0.7741176788979385,176456.83587168687,146,16
22,37.5,0.0,68.0,66.0,20,1.4,30.0,32.5,1.1123200469218522,0.6572744213544599,-0.7815854793609472,175322.84376493958,131,13
126,40.5,0.3,67.0,66.0,20,1.4,30.0,32.5,1.11184322066077,0.6446743785619032,-0.7741176788979389,174684.89795278714,200,16
146,43.0,0.0,67.0,65.0,20,1.4,30.0,32.5,1.1103978518194202,0.6492544766063059,-0.7575311035781371,172764.41761249263,152,17
129,40.5,0.3,67.5,65.0,15,1.6,30.0,32.5,1.1012896724595813,0.6271184250622465,-0.7741176788979388,161110.53525431128,144,16
