start,low_rsi_entry,tqqq_rebound_exit_pct,cagr,annualized_vol,max_drawdown,final_multiple,override_entries,override_exits,override_day_share,wait_exit_day_share
2010-02-12,30.0,45.5,0.8394787537893198,0.6496220555098123,-0.7919146215329633,18792.317104065794,6,6,0.2860653723273532,0.0014745637748832638
2010-02-12,30.0,46.0,0.8394787537893198,0.6496220555098123,-0.7919146215329633,18792.317104065794,6,6,0.2860653723273532,0.0014745637748832638
2010-02-12,30.0,46.5,0.8423302314101835,0.6495165686553555,-0.7919146215329634,19268.253155380327,6,6,0.28753993610223644,0.0014745637748832638
2010-02-12,30.0,47.0,0.8423302314101835,0.6495165686553555,-0.7919146215329634,19268.253155380327,6,6,0.28753993610223644,0.0014745637748832638
2010-02-12,30.0,47.5,0.8423302314101835,0.6495165686553555,-0.7919146215329634,19268.253155380327,6,6,0.28753993610223644,0.0014745637748832638
2010-02-12,30.0,48.0,0.8481141515644244,0.6495954072319458,-0.7919146215329634,20268.576194161134,6,6,0.2958957974932416,0.0014745637748832638
2010-02-12,30.0,48.5,0.8405786774104624,0.6493875519906217,-0.7919146215329637,18974.582007903682,6,6,0.29786188252641926,0.0014745637748832638
2010-02-12,30.0,49.0,0.8387634264652026,0.6493768725108577,-0.7919146215329635,18674.66520638557,6,6,0.2983534037847137,0.0014745637748832638
2010-02-12,30.0,49.5,0.8312047747975577,0.6495667026661138,-0.791914621532964,17472.982605496505,6,6,0.2990906856721553,0.0014745637748832638
2010-02-12,30.0,50.0,0.8480480329241153,0.6495402447239258,-0.7919146215329639,20256.870751420985,6,6,0.30007372818874417,0.0014745637748832638
