Date,gspc_rsi14_prev_close,uvix_high_rsi_state,base_strategy_return,uvix_return_proxy,strategy_return,selected_leg,base_target_regime_at_open,strategy_equity
2012-07-02,59.13033494741496,False,0.0080004823916535,-0.12555197176326122,0.0080004823916535,above,above,3.071051261871781
2012-07-03,59.94237551189087,False,0.0238095777170808,-0.06446828187005642,0.0238095777170808,above,above,3.1441716955644563
2012-07-05,62.00750623003591,False,0.0034881761200131,0.08895863987173676,0.0034881761200131,above,above,3.1551391201901455
2012-07-06,59.50729148487177,False,-0.0393973135967772,-0.012131077770949619,-0.0393973135967772,above,above,3.0308351148305546
2012-07-09,54.74558012068104,False,-0.0034181776074649,-0.023149234279323853,-0.0034181776074649,above,above,3.0204751821091227
2012-07-10,53.94552902635439,False,-0.0306629618543543,0.0633460135878234,-0.0306629618543543,above,above,2.9278584668180865
2012-07-11,50.046526899919684,False,-0.0137356243539471,-0.07217553806813197,-0.0137356243539471,above,above,2.8876425027563495
2012-07-12,50.039431911883604,False,-0.0289095226761706,0.0036282462081639964,-0.0289095226761706,above,above,2.804162136342241
2012-07-13,47.61040305321036,False,0.043458639630074,-0.09401590515108653,0.043458639630074,above,above,2.926027208089837
2012-07-16,55.30157610311288,False,-0.0074968363478182,-0.018769821361353904,-0.0074968363478182,above,above,2.904091260961524
2012-07-17,54.08230199267043,False,0.0153187580216405,-0.08282223619844702,0.0153187580216405,above,above,2.9485783322609547
2012-07-18,57.3193565035243,False,0.0407089846406807,0.007514282973962458,0.0407089846406807,above,above,3.06861196230081
2012-07-19,60.072579091387254,False,0.0325668947948363,-0.023661494527136555,0.0325668947948363,above,above,3.1685471252432365
2012-07-20,61.176847692116674,False,-0.0384626578979495,0.0897368973958534,-0.0384626578979495,above,above,3.0466763811314745
2012-07-23,55.08481160493321,False,-0.0369985749867074,0.1299114218854593,-0.0369985749867074,above,above,2.933953696583951
2012-07-24,50.35172339543021,False,-0.0228467280611831,0.10332151888742343,-0.0228467280611831,above,above,2.8669224543339946
2012-07-25,46.06465601409087,False,-0.0223156766859633,-0.022617786599616045,-0.0223156766859633,above,above,2.802945139759349
2012-07-26,45.91980845689148,False,0.0391305673317317,-0.16306951534978348,0.0391305673317317,above,above,2.912625973277852
2012-07-27,54.10742081796243,False,0.0757315109343499,-0.06759806817856266,0.0757315109343499,above,above,3.133203539020815
2012-07-30,61.473242912004274,False,-0.0060285284627625,0.05312832853795819,-0.0060285284627625,above,above,3.1143149323062
2012-07-31,61.200154310213996,False,0.0005860156937516,0.04718497566360642,0.0005860156937516,above,above,3.1161399697318166
2012-08-01,58.69359870615563,False,-0.0097765143338847,-0.04212321007051716,-0.0097765143338847,above,above,3.0856749826513425
2012-08-02,57.01160586118053,False,-0.0104663906702178,-0.012173073432294282,-0.0104663906702178,above,above,3.053379102801596
2012-08-03,52.806984406545055,False,0.0568760044494509,-0.14917912662048743,0.0568760044494509,above,above,3.2270431062384004
2012-08-06,60.673196302666625,False,0.0224700574254204,-0.06453564049144837,0.0224700574254204,above,above,3.299554950149884
2012-08-07,61.53396720492855,False,0.0247456020216081,0.0474336675064237,0.0247456020216081,above,above,3.3812044237947205
2012-08-08,63.42833514988708,False,-0.0016229586248911,-0.06366667260124385,-0.0016229586248911,above,above,3.375716868912603
