Date,signal_open,signal_sma_open,signal_below_sma_open,trigger_reference_tqqq_open,target_regime_at_open,overnight_regime,strategy_return
2022-12-28,258.18352943650245,283.80355651713853,True,10.606708541571226,below,below,-0.04038022502386551
2022-12-29,257.97752846222875,283.6185470872212,True,10.606708541571226,below,below,0.0705442105241807
2022-12-30,258.6250465038309,283.481952671783,True,10.606708541571226,below,below,2.220446049250313e-16
2023-01-03,263.55969075063524,283.3054140942605,True,10.606708541571226,below,below,-0.022542894854638562
2023-01-04,261.58774378213695,283.09600251927435,True,10.606708541571226,below,below,0.015375393848127139
2023-01-05,259.0370367281505,282.84359018697893,True,10.606708541571226,below,below,-0.047175368402539886
2023-01-06,258.36010113618534,282.6689779842435,True,10.606708541571226,below,below,0.07823955966465812
2023-01-09,265.6983935359543,282.59823846042366,True,10.606708541571226,below,below,0.020975191847914854
2023-01-10,264.38378077930986,282.48957237788704,True,10.606708541571226,below,below,0.026652013381657014
2023-01-11,268.72985154393996,282.4010738898071,True,10.606708541571226,below,below,0.049756536876612856
2023-01-12,272.8503236490701,282.3781347094217,True,10.606708541571226,below,below,0.015455897704163224
2023-01-13,271.2609656966435,282.3042083404441,True,10.606708541571226,below,below,0.019787004854928014
2023-01-17,275.4500454160634,282.22898895038486,True,10.606708541571226,below,below,0.005472360905596885
2023-01-18,277.74572238568624,282.08589007017787,True,10.606708541571226,below,below,-0.03711022322164914
2023-01-19,270.9863484502432,281.86875251121853,True,10.606708541571226,below,below,-0.031346186553753874
2023-01-20,271.54547015302177,281.69451169318666,True,10.606708541571226,below,below,0.0816972864356349
2023-01-23,278.167576598982,281.5532653141013,True,10.606708541571226,below,below,0.06571872890287489
2023-01-24,281.86612337300437,281.4821036588071,False,,above,below,-0.0059826020177269346
2023-01-25,278.39320945144925,281.3562864660845,True,9.869687516614611,wait_mix,above,-0.0424652673935757
2023-01-26,285.70209498809857,281.27778220149423,False,,above,wait_mix,0.012579225531370364
2023-01-27,286.46731345608214,281.20636814638686,False,,above,above,0.028659693794157448
2023-01-30,287.37962205125564,281.20399436099535,False,,above,above,-0.060008542650408225
2023-01-31,284.80926502137663,281.2074809067193,False,,above,above,0.0446876912019345
2023-02-01,288.8316018722076,281.3606896267221,False,,above,above,0.06460058114725276
2023-02-02,301.74235836060853,281.6050327489396,False,,above,above,0.1033211555403799
2023-02-03,299.1620753478888,281.7767891664504,False,,above,above,-0.05165374536791456
2023-02-06,297.7592059878805,281.9914699863073,False,,above,above,-0.0254702104370218
2023-02-07,297.71017487608094,282.1786206265143,False,,above,above,0.061921990355795264
2023-02-08,302.69393776816526,282.3935595422339,False,,above,above,-0.053767764977057264
2023-02-09,302.9882681237909,282.54790765187846,False,,above,above,-0.026810544489763388
2023-02-10,293.80556011389376,282.6010074794411,False,,above,above,-0.020559223693071282
2023-02-13,295.42426644931186,282.6498811460516,False,,above,above,0.04743931960392245
2023-02-14,297.15095751576536,282.7420501853708,False,,above,above,0.021643099270985955
2023-02-15,299.12282420101644,282.90395168369656,False,,above,above,0.02236162064250813
2023-02-16,298.61274553656614,283.0631624118313,False,,above,above,-0.05717568543767593
2023-02-17,295.3654747394392,283.1911959412121,False,,above,above,-0.021570885724274902
2023-02-21,291.6276109184507,283.29174595920097,False,,above,above,-0.07029972193610745
2023-02-22,289.0376061204894,283.32626014277577,False,,above,above,0.0008951006085973212
2023-02-23,292.3241881717645,283.38761663398975,False,,above,above,0.02503347630886199
2023-02-24,286.2317772609407,283.3683779482434,False,,above,above,-0.05058869784693998
2023-02-27,289.47913843428347,283.37477892078675,False,,above,above,0.02158925040962556
2023-02-28,287.7425975121591,283.40137442308014,False,,above,above,-0.004946062284117758
2023-03-01,287.70343010420504,283.45334520295233,False,,above,above,-0.024401237625673367
2023-03-02,283.1905319799629,283.4664876655425,True,10.08570972198596,wait_mix,above,-0.019853680763159187
2023-03-03,289.7930467854235,283.5576498140459,False,,above,wait_mix,0.06674383996221689
2023-03-06,295.2378779090162,283.64704461733294,False,,above,above,0.004262560012113115
2023-03-07,294.3844034004965,283.7142409573798,False,,above,above,-0.03735158571377739
2023-03-08,291.1468486688334,283.6896304010735,False,,above,above,0.013668420834106243
2023-03-09,292.6772954111653,283.6750126106325,False,,above,above,-0.05263152891857814
2023-03-10,287.2815134618591,283.5589061990963,False,,above,above,-0.04132226881945311
2023-03-13,281.29716972593775,283.4468315425071,True,9.82648363819512,wait_mix,above,-0.04729794080994598
2023-03-14,288.7335168501078,283.4422608146943,False,,above,wait_mix,0.019093501363030896
2023-03-15,289.1259789091008,283.47064982927196,False,,above,above,0.014486273543312445
2023-03-16,292.3536342883857,283.45036571280707,False,,above,above,0.07918686370569428
2023-03-17,300.90840459728173,283.49337503468394,False,,above,above,-0.01483585544283128
2023-03-20,298.9571102988408,283.4273319416566,False,,above,above,0.010582088871596396
2023-03-21,302.5729268224663,283.40388797113775,False,,above,above,0.04228733258652184
2023-03-22,304.8623630714079,283.40473011267164,False,,above,above,-0.040808097153311906
2023-03-23,304.51849073355623,283.31093166434425,False,,above,above,0.0356562671788343
2023-03-24,303.92894408666183,283.22866995617517,False,,above,above,0.010172143733101047
2023-03-27,306.169129633849,283.1872759895023,False,,above,above,-0.020526725929192025
2023-03-28,302.79896011565387,283.10408607961074,False,,above,above,-0.016607324298298254
2023-03-29,305.46166531424655,283.07069518070546,False,,above,above,0.054684374152708104
2023-03-30,309.74573634032066,283.02779021995536,False,,above,above,0.027068220394214082
2023-03-31,310.4040515378781,282.9916985436999,False,,above,above,0.04899777625753332
2023-04-03,313.21420687465223,282.96276695840237,False,,above,above,-0.007077194255213803
2023-04-04,315.0123660990055,282.90641760107656,False,,above,above,-0.0099786227173575
2023-04-05,312.5559079537238,282.8216076835304,False,,above,above,-0.03203739633685443
2023-04-06,308.7631205247058,282.7322426668842,False,,above,above,0.020081746374989162
2023-04-10,309.57870772010875,282.6799367131372,False,,above,above,-0.0021873307630498884
2023-04-11,312.2906125041193,282.6775778370924,False,,above,above,-0.019364342009417834
2023-04-12,312.2807647449235,282.69758083327514,False,,above,above,-0.026453110415580516
2023-04-13,309.3429139101412,282.68373796520376,False,,above,above,0.05740549711678811
2023-04-14,312.0548000917982,282.7372944239441,False,,above,above,-0.005790922043976798
2023-04-17,312.6050129930765,282.7396454936518,False,,above,above,0.0010920368954314696
2023-04-18,315.39552430525794,282.83788834389395,False,,above,above,0.0007272783163974061
2023-04-19,310.89534126848116,282.9091884694453,False,,above,above,-0.002180105759818307
2023-04-20,310.1878952501986,283.0239714530103,False,,above,above,-0.023306659987960665
2023-04-21,310.4040456011368,283.14028897595557,False,,above,above,0.0018642945289306656
2023-04-24,310.86585776277883,283.2593746046392,False,,above,above,-0.005954788301064551
2023-04-25,308.8122931475804,283.38451456486894,False,,above,above,-0.05653290708212744
2023-04-26,307.97712275751604,283.4936132161175,False,,above,above,0.016666635315421674
2023-04-27,310.1976828367422,283.5972086279286,False,,above,above,0.08079624660828366
2023-04-28,314.53082960959074,283.7566192101759,False,,above,above,0.020223846470386997
2023-05-01,316.47635236195066,283.87456333431174,False,,above,above,-0.002831879988248409
2023-05-02,316.50580338013646,283.95597279837807,False,,above,above,-0.02662413140263864
2023-05-03,314.17715716201246,284.10943290441224,False,,above,above,-0.01969351792551821
2023-05-04,311.5340186637454,284.2338665434978,False,,above,above,-0.011160651795349641
2023-05-05,312.91938267338986,284.4067022002109,False,,above,above,0.06132416976800714
2023-05-08,316.8006073328287,284.647273216454,False,,above,above,0.00815326942253014
2023-05-09,316.3879214383984,284.8521634883296,False,,above,above,-0.019339104263999318
2023-05-10,318.47093335731375,285.0742538536553,False,,above,above,0.03226973586602111
2023-05-11,320.0234543863166,285.3461469751989,False,,above,above,0.008336084952340617
2023-05-12,321.045269963454,285.64258115885974,False,,above,above,-0.010334080475848717
2023-05-15,319.8367619635715,285.945783332066,False,,above,above,0.015314981113562887
2023-05-16,320.3771430453496,286.2776982733364,False,,above,above,0.0037710941644124585
2023-05-17,322.51915867337476,286.6212225516146,False,,above,above,0.03586072430012455
2023-05-18,325.7419701540816,286.9624220615404,False,,above,above,0.05374218121376173
