seed,cagr,alpha_drawdown_pct,gspc_exit_gamma_pct,uvix_entry_rsi,uvix_exit_rsi,bb_window_days,bb_z_threshold,low_rsi_entry,low_rsi_exit,stage
71,1.6528036293136266,40.5,0.8,66.0,62.5,14.0,1.1,30.0,37.5,
71,1.6528036293136266,40.5,0.8,66.0,62.5,14.0,1.1,29.5,37.5,
97,1.6528036293136266,40.5,0.8,66.0,61.5,14.0,1.1,30.0,37.5,
131,1.6528036293136266,40.5,0.8,66.0,64.0,14.0,1.1,30.0,37.5,
11,1.652752676010282,40.5,0.8,66.0,57.5,14.0,1.1,30.5,37.5,
97,1.652752676010282,40.5,0.8,66.0,59.5,14.0,1.1,30.5,37.5,
47,1.6526907531569925,39.0,0.7,66.5,56.5,14.0,1.1,30.5,37.5,
97,1.6526907531569925,39.5,0.7,66.5,58.5,14.0,1.1,30.5,37.5,
97,1.6526907531569925,39.0,0.7,66.5,55.5,14.0,1.1,30.5,37.5,
97,1.6526907531569925,40.0,0.7,66.5,57.0,14.0,1.1,30.5,37.5,
,1.6524888136121034,40.5,0.7,66.5,57.0,14.0,1.05,29.5,38.0,local
,1.6524888136121034,40.5,0.7,66.5,56.5,14.0,1.05,30.0,38.0,local
,1.6524888136121034,40.5,0.7,66.5,58.5,14.0,1.05,30.0,38.0,local
,1.6524888136121034,40.5,0.7,66.5,56.0,14.0,1.05,30.0,38.0,local
,1.6524888136121034,40.5,0.7,66.5,58.0,14.0,1.05,30.0,38.0,local
,1.6524888136121034,40.5,0.7,66.5,57.5,14.0,1.05,29.5,38.0,local
,1.6524888136121034,40.5,0.7,66.5,55.5,14.0,1.05,29.5,38.0,local
,1.6524888136121034,40.5,0.7,66.5,57.5,14.0,1.05,30.0,38.0,local
29,1.652465224408004,40.5,0.7,66.5,58.0,14.0,1.1,30.5,40.0,
71,1.652465224408004,40.5,0.7,66.5,57.0,14.0,1.1,30.5,40.0,
97,1.652465224408004,40.5,0.7,66.5,57.5,14.0,1.1,30.5,40.0,
11,1.652287697324772,40.5,0.7,66.5,58.5,14.0,1.05,30.0,37.5,
47,1.652287697324772,40.5,0.7,66.5,57.0,14.0,1.05,30.0,37.5,
131,1.652287697324772,40.5,0.7,66.5,56.0,14.0,1.05,29.5,37.5,
11,1.652060344030089,40.5,0.7,66.5,58.0,14.0,1.1,30.0,32.5,
97,1.6517991467706912,40.5,0.7,66.5,58.5,14.0,1.1,30.5,35.0,
47,1.6515364274641433,40.5,0.8,66.0,57.5,14.0,1.15,30.0,38.0,
